pH,Salinity,CO3,HCO3,Alkalinity,Hardness,Ca:Mg Ratio,Dissolved Oxygen,Suitable
8.16,14.4,0.0,147.5,147.5,2063.23,0.32,7.13,True
8.37,17.1,156.37,27.8,184.17000000000002,3845.82,0.32,6.33,True
7.7,15.24,0.0,166.82,166.82,4776.88,0.27,4.24,True
8.34,18.97,138.88,11.99,150.87,2358.16,0.3,5.74,True
8.06,11.69,0.0,169.78,169.78,3682.91,0.29,6.09,True
8.81,14.95,29.06,128.87,157.93,852.47,0.28,5.95,False
7.53,20.16,0.0,183.91,183.91,3781.72,0.27,7.52,False
8.72,19.44,41.01,112.86,153.87,5355.76,0.32,7.96,False
7.67,18.44,0.0,131.54,131.54,3593.66,0.27,4.62,True
7.29,21.52,0.0,163.49,163.49,3809.79,0.3,7.82,False
7.87,12.54,0.0,135.93,135.93,3911.51,0.32,4.02,True
8.2,7.95,157.85,40.5,198.35,5977.66,0.33,3.79,False
7.87,16.08,0.0,150.49,150.49,4862.41,0.3,4.42,True
8.67,24.2,75.05,27.86,102.91,4781.4,0.33,3.75,False
7.11,14.06,0.0,115.74,115.74,4350.97,0.32,3.03,False
7.76,18.72,0.0,143.05,143.05,2199.01,0.26,7.34,True
8.23,9.73,59.13,106.93,166.06,4205.49,0.33,5.65,False
7.91,19.59,0.0,131.8,131.8,3481.09,0.3,7.86,True
8.84,11.4,24.12,139.27,163.39000000000001,3678.34,0.26,5.93,False
7.88,17.49,0.0,115.84,115.84,4491.18,0.26,5.37,True
8.02,12.55,0.0,188.35,188.35,1815.23,0.33,6.84,True
7.92,17.51,0.0,112.21,112.21,4361.64,0.29,4.41,True
7.23,5.55,0.0,170.07,170.07,4723.95,0.3,7.61,False
7.54,19.29,0.0,107.32,107.32,2810.41,0.31,7.21,True
7.84,11.57,0.0,183.21,183.21,1875.85,0.31,5.93,True
7.42,7.19,0.0,187.62,187.62,2554.74,0.25,5.42,False
7.61,12.07,0.0,142.6,142.6,3096.31,0.29,5.27,True
8.54,15.34,41.28,141.61,182.89000000000001,1121.82,0.29,7.53,False
7.25,11.51,0.0,128.05,128.05,1133.79,0.26,6.16,False
8.94,10.61,96.02,90.94,186.95999999999998,2465.36,0.26,4.39,False
8.85,15.68,61.04,54.15,115.19,3087.94,0.31,3.18,False
8.81,11.83,11.93,161.72,173.65,2105.54,0.29,2.08,False
8.02,23.09,0.0,126.96,126.96,2914.2,0.3,3.54,False
7.86,14.34,0.0,156.43,156.43,4124.87,0.27,4.53,True
7.91,18.1,0.0,106.33,106.33,4933.03,0.27,8.0,True
7.99,17.18,0.0,182.12,182.12,3461.79,0.28,4.76,True
7.45,5.5,0.0,110.97,110.97,5278.36,0.31,7.09,False
8.25,18.45,147.92,27.16,175.07999999999998,3080.49,0.32,6.47,True
7.91,15.76,0.0,183.87,183.87,4738.35,0.26,7.96,True
8.43,17.48,86.45,27.17,113.62,2731.51,0.27,4.29,True
7.5,12.51,0.0,130.92,130.92,4669.73,0.27,4.93,True
7.79,10.34,0.0,125.41,125.41,1143.4,0.27,4.41,True
7.24,20.06,0.0,107.04,107.04,4456.47,0.32,6.65,False
7.74,10.07,0.0,198.43,198.43,1543.64,0.31,7.16,True
8.94,9.55,38.35,149.77,188.12,4142.64,0.26,5.1,False
8.31,13.25,56.75,97.18,153.93,2968.02,0.28,5.68,True
7.61,14.05,0.0,172.33,172.33,3127.44,0.3,7.71,True
8.04,19.15,0.0,137.86,137.86,4993.88,0.32,3.11,False
8.6,5.98,138.24,60.96,199.20000000000002,3451.97,0.33,2.71,False
7.18,12.57,0.0,183.46,183.46,4665.43,0.28,5.53,False
7.76,19.77,0.0,198.54,198.54,3302.58,0.27,7.07,True
7.05,24.88,0.0,101.53,101.53,5210.59,0.32,6.67,False
8.08,17.43,0.0,162.47,162.47,2405.61,0.3,5.8,True
7.62,13.69,0.0,184.61,184.61,1298.56,0.26,2.37,False
8.47,10.06,50.76,129.89,180.64999999999998,1376.78,0.3,5.23,True
7.12,6.07,0.0,116.72,116.72,1032.12,0.33,2.62,False
8.77,11.5,28.47,135.34,163.81,1404.77,0.31,3.5,False
8.95,21.13,91.0,63.46,154.46,3412.53,0.26,4.54,False
8.55,21.7,85.94,65.34,151.28,1954.55,0.32,6.57,False
7.14,19.8,0.0,141.73,141.73,940.3,0.3,4.71,False
7.83,10.64,0.0,102.43,102.43,2579.71,0.3,7.52,True
8.15,21.43,0.0,159.77,159.77,1529.05,0.28,4.44,False
7.98,15.79,0.0,173.89,173.89,3690.89,0.29,6.26,True
8.72,23.7,99.66,2.3,101.96,5925.91,0.33,4.89,False
7.47,22.85,0.0,157.28,157.28,5347.08,0.25,5.04,False
8.83,23.68,167.62,16.86,184.48000000000002,775.8,0.28,4.12,False
7.9,14.48,0.0,147.57,147.57,3561.91,0.26,6.72,True
7.66,8.08,0.0,166.26,166.26,5568.72,0.3,6.37,False
7.81,16.34,0.0,137.37,137.37,2492.16,0.3,5.17,True
8.76,6.47,72.98,86.8,159.78,5304.41,0.29,4.68,False
8.37,18.84,140.58,26.03,166.61,1878.95,0.3,7.19,True
8.36,19.74,196.38,3.05,199.43,1723.48,0.28,5.38,True
8.93,23.45,191.31,6.03,197.34,5408.2,0.3,7.91,False
8.37,12.05,13.45,159.45,172.89999999999998,1971.67,0.26,7.39,True
7.75,9.55,0.0,108.73,108.73,5910.2,0.29,2.85,False
8.0,19.65,0.0,187.61,187.61,2418.63,0.32,4.73,True
8.41,19.16,133.13,55.26,188.39,2426.78,0.26,5.46,True
7.35,12.85,0.0,164.99,164.99,5787.71,0.28,4.42,False
8.57,21.4,27.68,103.2,130.88,866.23,0.32,7.22,False
8.31,10.26,98.41,13.41,111.82,5499.22,0.26,7.79,False
7.07,10.11,0.0,117.02,117.02,5117.66,0.3,3.37,False
7.54,5.26,0.0,108.92,108.92,3639.38,0.31,5.17,False
7.92,13.95,0.0,196.35,196.35,3736.4,0.3,4.46,True
8.06,24.58,0.0,185.51,185.51,5886.04,0.26,3.91,False
7.34,14.05,0.0,168.77,168.77,2712.89,0.31,3.11,False
8.83,10.87,107.93,33.51,141.44,4528.8,0.31,2.25,False
8.88,15.44,29.14,72.31,101.45,1730.22,0.32,7.49,False
8.46,14.2,14.93,178.99,193.92000000000002,3197.92,0.3,3.27,False
8.24,16.96,171.98,17.6,189.57999999999998,1401.56,0.27,4.97,True
7.8,13.37,0.0,134.92,134.92,3502.05,0.25,4.69,True
8.53,6.92,66.89,108.46,175.35,696.78,0.27,4.94,False
7.88,10.54,0.0,109.15,109.15,4403.76,0.29,4.59,True
7.49,10.53,0.0,113.95,113.95,2689.54,0.26,2.68,False
7.62,10.93,0.0,179.89,179.89,3175.02,0.26,6.44,True
8.14,8.56,0.0,155.98,155.98,5802.41,0.26,5.62,False
7.94,23.29,0.0,148.49,148.49,1824.05,0.32,4.44,False
8.23,15.77,145.59,44.08,189.67000000000002,4547.19,0.25,6.95,True
7.65,16.81,0.0,192.87,192.87,2444.26,0.29,5.36,True
8.7,16.44,160.96,18.73,179.69,807.84,0.29,5.28,False
8.45,13.1,170.27,9.52,179.79000000000002,4975.35,0.32,5.9,True
7.05,9.45,0.0,114.2,114.2,1758.11,0.31,5.78,False
7.98,19.04,0.0,188.55,188.55,2764.57,0.26,5.61,True
8.42,17.3,110.5,55.64,166.14,1760.75,0.31,7.03,True
8.2,14.59,120.66,0.1,120.75999999999999,5068.44,0.29,6.95,False
7.38,10.35,0.0,187.06,187.06,3491.43,0.3,5.0,False
7.26,7.79,0.0,101.54,101.54,5486.2,0.3,7.62,False
7.44,18.21,0.0,193.07,193.07,4024.32,0.27,5.3,False
8.04,17.77,0.0,170.85,170.85,1306.29,0.27,7.81,True
7.96,11.07,0.0,146.75,146.75,1774.37,0.29,5.73,True
7.9,18.54,0.0,121.83,121.83,4088.83,0.27,7.77,True
8.11,19.89,0.0,108.41,108.41,2801.76,0.3,4.76,True
8.51,17.33,190.83,9.12,199.95000000000002,519.82,0.28,6.15,False
8.64,6.08,189.58,10.02,199.60000000000002,3248.89,0.28,6.21,False
8.26,16.75,114.51,50.68,165.19,3850.15,0.3,4.28,True
8.66,10.62,99.82,98.72,198.54,1870.36,0.3,5.56,False
8.04,14.04,0.0,180.76,180.76,1788.21,0.33,5.07,True
8.03,23.76,0.0,124.04,124.04,2777.77,0.28,8.0,False
8.25,7.58,14.61,175.19,189.8,902.01,0.31,7.03,False
8.05,18.81,0.0,154.03,154.03,3956.87,0.27,7.06,True
7.02,12.59,0.0,107.06,107.06,3245.72,0.32,3.89,False
7.7,17.77,0.0,127.67,127.67,3089.88,0.33,6.92,True
7.93,23.91,0.0,184.33,184.33,1288.03,0.32,6.04,False
8.11,16.44,0.0,104.35,104.35,2191.89,0.27,7.5,True
7.71,10.99,0.0,152.94,152.94,5697.36,0.29,5.56,False
8.27,18.26,174.81,3.52,178.33,3968.71,0.3,6.2,True
7.69,13.99,0.0,122.09,122.09,4211.74,0.29,7.43,True
7.85,10.54,0.0,133.35,133.35,1563.63,0.28,5.3,True
8.01,16.2,0.0,176.71,176.71,4841.45,0.32,4.66,True
7.1,9.99,0.0,172.72,172.72,3421.24,0.26,7.45,False
7.31,15.3,0.0,149.31,149.31,2333.39,0.27,2.96,False
7.63,19.05,0.0,143.67,143.67,2164.33,0.27,3.03,False
7.71,20.46,0.0,100.58,100.58,5162.78,0.33,7.77,False
8.18,19.71,0.0,104.31,104.31,1612.49,0.3,2.67,False
7.81,19.29,0.0,167.91,167.91,5675.1,0.32,6.87,False
8.37,15.41,1.32,140.47,141.79,4440.7,0.27,7.05,True
8.47,14.89,55.74,71.56,127.30000000000001,4620.66,0.28,5.68,True
7.82,8.04,0.0,153.12,153.12,2662.85,0.26,3.98,False
8.15,11.33,0.0,184.82,184.82,2794.42,0.29,4.64,True
8.12,19.48,0.0,180.09,180.09,4642.12,0.28,6.26,True
7.86,5.62,0.0,151.94,151.94,1995.33,0.27,5.65,False
7.87,14.98,0.0,126.26,126.26,2142.14,0.32,7.68,True
8.53,24.19,161.27,21.03,182.3,516.04,0.32,3.1,False
8.97,14.28,75.83,58.49,134.32,4544.74,0.29,2.99,False
8.19,16.42,0.0,138.45,138.45,1974.88,0.3,6.99,True
7.93,9.5,0.0,129.63,129.63,2987.47,0.29,4.4,False
7.05,5.17,0.0,140.17,140.17,2093.4,0.3,4.96,False
8.09,12.06,0.0,157.68,157.68,1574.27,0.32,4.03,True
8.48,17.65,39.94,114.86,154.8,1026.5,0.29,6.96,True
8.76,7.54,3.87,127.92,131.79,2569.48,0.3,6.44,False
8.71,9.14,23.61,22.24,45.849999999999994,5711.06,0.28,4.78,False
7.38,17.16,0.0,108.61,108.61,2585.5,0.33,7.41,False
8.05,19.21,0.0,116.37,116.37,3013.44,0.27,5.15,True
7.68,11.95,0.0,173.39,173.39,3442.15,0.33,7.2,True
8.88,11.45,31.77,140.14,171.91,4879.26,0.26,3.4,False
7.52,8.67,0.0,168.5,168.5,2312.61,0.31,2.77,False
7.75,16.85,0.0,175.17,175.17,2660.69,0.28,6.23,True
7.31,7.82,0.0,191.3,191.3,1806.7,0.28,7.29,False
8.13,11.93,0.0,147.77,147.77,1970.0,0.28,4.57,True
8.33,14.48,179.38,2.86,182.24,2814.17,0.28,6.36,True
8.31,13.26,72.0,12.8,84.8,3440.84,0.27,2.92,False
7.95,17.84,0.0,110.0,110.0,1371.72,0.32,5.59,True
7.51,16.83,0.0,177.65,177.65,3300.27,0.27,5.98,True
8.43,7.27,31.59,29.86,61.45,3228.16,0.31,6.7,False
7.46,6.33,0.0,144.25,144.25,552.0,0.26,7.77,False
8.37,11.99,183.94,1.19,185.13,4109.13,0.3,7.39,True
8.23,12.22,66.2,56.27,122.47,3967.52,0.31,6.69,True
7.59,11.99,0.0,140.38,140.38,1125.47,0.27,6.18,True
8.39,16.77,186.24,7.76,194.0,4356.77,0.32,3.98,False
8.79,5.62,18.04,111.35,129.39,1275.93,0.32,7.69,False
8.33,19.64,93.0,31.34,124.34,2724.69,0.29,7.89,True
7.98,11.94,0.0,142.68,142.68,4401.97,0.31,7.72,True
7.91,15.58,0.0,174.76,174.76,4136.04,0.27,5.99,True
8.03,10.48,0.0,110.19,110.19,4852.51,0.32,5.57,True
7.7,13.24,0.0,141.68,141.68,3853.55,0.26,6.59,True
8.36,10.3,79.0,33.82,112.82,1253.65,0.32,5.48,True
7.77,14.25,0.0,176.53,176.53,4298.21,0.29,5.12,True
7.59,19.94,0.0,129.74,129.74,1309.76,0.32,4.7,True
7.77,12.27,0.0,144.85,144.85,4576.52,0.27,6.44,True
7.89,23.35,0.0,105.25,105.25,5099.31,0.3,4.09,False
7.69,14.76,0.0,189.65,189.65,2500.5,0.29,4.53,True
7.78,10.72,0.0,102.94,102.94,4744.93,0.31,4.99,True
7.76,16.44,0.0,171.51,171.51,3222.58,0.29,4.1,True
7.86,16.09,0.0,113.49,113.49,4533.67,0.27,5.56,True
8.0,14.24,0.0,104.09,104.09,4233.68,0.3,3.88,False
8.25,19.01,130.31,4.62,134.93,4983.66,0.33,7.06,True
8.42,12.24,0.37,150.72,151.09,4385.93,0.31,4.9,True
7.48,21.86,0.0,144.56,144.56,4441.86,0.28,6.87,False
8.88,6.24,21.14,70.88,92.02,4627.18,0.28,3.61,False
8.8,9.28,76.58,84.62,161.2,4695.88,0.26,3.3,False
8.13,17.23,0.0,147.95,147.95,2824.61,0.25,6.67,True
7.17,6.14,0.0,191.78,191.78,5254.35,0.28,5.89,False
8.44,12.11,180.15,3.93,184.08,3380.64,0.26,7.99,True
8.03,15.86,0.0,194.27,194.27,4220.42,0.33,4.18,True
7.22,14.39,0.0,168.06,168.06,510.47,0.33,5.41,False
7.82,19.82,0.0,156.54,156.54,4298.07,0.33,4.74,True
7.88,22.3,0.0,170.96,170.96,2007.75,0.28,2.72,False
8.92,17.16,161.51,5.38,166.89,5088.59,0.3,7.94,False
8.09,6.12,0.0,173.94,173.94,958.02,0.25,4.39,False
7.68,16.22,0.0,151.31,151.31,3555.11,0.28,3.15,False
7.78,18.77,0.0,106.91,106.91,3015.01,0.33,4.48,True
8.5,5.67,135.14,20.4,155.54,3332.16,0.27,2.06,False
7.48,20.54,0.0,105.04,105.04,3808.98,0.28,3.5,False
7.53,6.67,0.0,126.66,126.66,5356.57,0.26,7.83,False
8.65,8.06,32.59,60.74,93.33000000000001,3060.44,0.29,5.98,False
7.58,8.27,0.0,193.71,193.71,3358.65,0.29,5.18,False
8.27,12.77,89.79,63.81,153.60000000000002,3835.19,0.26,6.12,True
7.81,11.06,0.0,161.08,161.08,1318.29,0.28,6.88,True
7.57,11.65,0.0,101.43,101.43,1030.09,0.31,6.81,True
7.66,19.67,0.0,186.96,186.96,2089.99,0.33,4.77,True
8.11,17.84,0.0,120.77,120.77,2874.95,0.28,7.74,True
7.73,11.3,0.0,176.68,176.68,2589.72,0.28,3.91,False
8.29,18.72,190.9,8.58,199.48000000000002,2687.79,0.28,6.41,True
7.32,22.98,0.0,174.4,174.4,2489.9,0.33,6.26,False
7.72,18.22,0.0,136.59,136.59,4089.63,0.28,7.82,True
8.02,16.53,0.0,195.33,195.33,2103.67,0.3,7.37,True
8.2,11.13,179.59,1.87,181.46,5548.58,0.31,3.17,False
8.84,7.81,75.14,61.12,136.26,5581.73,0.28,7.4,False
8.3,10.33,186.34,10.06,196.4,3006.44,0.3,6.34,True
7.94,12.86,0.0,106.7,106.7,2964.44,0.3,5.96,True
7.12,21.73,0.0,142.72,142.72,4323.57,0.25,4.94,False
8.19,22.61,0.0,104.36,104.36,1040.1,0.29,7.33,False
8.06,10.05,0.0,151.57,151.57,5669.85,0.25,5.43,False
8.07,15.61,0.0,118.64,118.64,2017.3,0.32,5.01,True
8.19,11.23,0.0,122.19,122.19,4641.33,0.29,7.25,True
8.35,18.15,3.92,73.93,77.85000000000001,5230.35,0.32,4.83,False
7.56,12.52,0.0,183.24,183.24,3428.15,0.33,4.25,True
8.56,16.23,80.13,81.25,161.38,749.75,0.29,7.77,False
8.33,13.73,190.79,7.0,197.79,1345.22,0.31,4.67,True
7.67,16.23,0.0,157.97,157.97,4841.02,0.33,4.16,True
8.02,17.02,0.0,157.65,157.65,2451.99,0.29,7.28,True
7.15,13.01,0.0,162.45,162.45,4666.38,0.3,7.79,False
7.74,10.07,0.0,192.94,192.94,685.4,0.28,4.7,False
7.24,24.63,0.0,175.26,175.26,5432.92,0.28,7.82,False
7.82,13.49,0.0,129.0,129.0,1563.44,0.33,5.03,True
7.18,12.17,0.0,152.22,152.22,2827.79,0.31,7.61,False
7.36,20.35,0.0,178.67,178.67,2690.35,0.28,7.88,False
7.76,23.95,0.0,104.96,104.96,3102.76,0.3,6.62,False
7.97,13.3,0.0,158.06,158.06,4842.04,0.27,5.56,True
7.94,17.44,0.0,111.81,111.81,2478.99,0.27,5.91,True
7.79,22.67,0.0,143.53,143.53,1128.12,0.28,4.53,False
8.23,14.25,143.57,32.12,175.69,4006.94,0.3,5.25,True
8.0,14.84,0.0,117.76,117.76,1606.34,0.25,7.83,True
8.33,13.69,33.96,143.86,177.82000000000002,1851.97,0.26,7.04,True
7.7,10.77,0.0,115.68,115.68,5058.08,0.27,5.99,False
8.08,16.99,0.0,171.69,171.69,1566.79,0.31,3.51,False
7.45,9.97,0.0,150.79,150.79,1384.73,0.29,7.73,False
7.79,19.67,0.0,146.07,146.07,1976.47,0.32,4.53,True
8.01,11.99,0.0,147.8,147.8,3694.19,0.33,5.37,True
8.23,13.34,141.18,37.6,178.78,1707.18,0.29,5.88,True
7.3,24.15,0.0,187.46,187.46,3816.78,0.28,3.68,False
8.48,14.37,48.29,114.98,163.27,4656.82,0.31,6.38,True
8.76,18.32,33.06,16.72,49.78,4510.68,0.32,6.62,False
8.03,20.78,0.0,159.22,159.22,5712.27,0.31,4.93,False
8.19,19.3,0.0,130.41,130.41,1312.89,0.3,7.67,True
7.97,13.5,0.0,151.35,151.35,4190.8,0.29,5.0,True
7.57,7.8,0.0,146.59,146.59,2710.01,0.31,5.84,False
7.63,11.43,0.0,165.26,165.26,3900.75,0.32,7.5,True
9.0,17.57,7.82,11.69,19.509999999999998,1521.71,0.25,3.88,False
7.57,15.11,0.0,162.53,162.53,2297.79,0.25,7.58,True
8.28,16.99,47.67,102.4,150.07,5521.77,0.25,6.87,False
7.12,12.59,0.0,169.49,169.49,1628.53,0.27,7.66,False
8.35,15.7,163.84,19.85,183.69,2625.67,0.29,7.2,True
8.3,6.73,118.05,31.27,149.32,2644.02,0.31,5.45,False
7.73,18.33,0.0,177.86,177.86,1420.12,0.26,4.35,True
8.22,6.33,130.68,61.92,192.60000000000002,1205.24,0.26,3.85,False
7.4,6.54,0.0,178.69,178.69,1084.36,0.28,2.28,False
7.18,14.19,0.0,105.57,105.57,977.49,0.27,3.31,False
7.8,16.61,0.0,158.59,158.59,5811.28,0.27,4.62,False
7.65,6.34,0.0,115.7,115.7,2030.45,0.3,3.89,False
7.65,15.23,0.0,126.05,126.05,1039.03,0.28,3.45,False
7.63,12.66,0.0,164.77,164.77,2460.54,0.29,5.58,True
8.09,17.46,0.0,141.49,141.49,4452.88,0.3,4.71,True
7.61,11.32,0.0,133.3,133.3,4626.11,0.3,4.27,True
8.37,15.5,134.59,12.17,146.76,4232.94,0.29,4.18,True
8.16,13.82,0.0,157.62,157.62,2163.92,0.31,4.81,True
7.79,15.54,0.0,127.05,127.05,3309.88,0.31,7.59,True
8.04,10.98,0.0,176.16,176.16,4288.58,0.27,4.23,True
8.3,15.82,144.11,5.87,149.98000000000002,1174.12,0.31,5.83,True
8.47,16.39,56.46,95.99,152.45,4105.45,0.29,3.22,False
8.44,17.87,69.64,36.43,106.07,4378.3,0.29,4.69,True
8.36,14.49,190.69,0.98,191.67,3783.73,0.29,6.5,True
8.69,8.97,67.28,44.84,112.12,5089.88,0.31,3.26,False
8.07,15.7,0.0,157.07,157.07,2357.66,0.29,2.4,False
7.65,20.01,0.0,167.31,167.31,1742.58,0.28,5.36,False
7.57,21.08,0.0,182.63,182.63,4844.71,0.3,4.6,False
7.16,9.39,0.0,103.71,103.71,5970.77,0.29,3.74,False
7.49,5.42,0.0,148.69,148.69,3084.56,0.31,6.35,False
8.55,15.24,103.19,21.63,124.82,5214.71,0.31,2.74,False
8.83,14.16,72.65,23.14,95.79,652.04,0.26,5.74,False
8.77,19.86,100.37,8.68,109.05000000000001,676.37,0.26,2.68,False
7.54,19.39,0.0,152.97,152.97,2087.6,0.29,6.95,True
8.32,10.78,21.38,96.18,117.56,4174.69,0.33,6.84,True
8.57,11.45,117.25,81.67,198.92000000000002,3268.33,0.25,4.65,False
8.12,11.7,0.0,122.87,122.87,2133.05,0.3,5.9,True
7.56,17.77,0.0,136.37,136.37,3967.19,0.32,7.42,True
7.88,16.37,0.0,174.23,174.23,2230.5,0.29,5.08,True
7.71,17.73,0.0,151.47,151.47,1763.0,0.32,6.71,True
8.23,12.25,54.78,46.96,101.74000000000001,3471.3,0.29,7.88,True
8.31,13.8,59.21,97.09,156.3,2222.68,0.31,4.43,True
8.47,12.76,145.53,10.05,155.58,3017.72,0.31,5.68,True
8.16,16.41,0.0,187.52,187.52,4937.57,0.31,4.24,True
8.06,19.68,0.0,198.56,198.56,3979.47,0.29,6.09,True
8.91,20.59,27.66,92.58,120.24,3906.45,0.25,6.22,False
8.79,11.24,147.38,13.17,160.54999999999998,2430.12,0.31,4.96,False
8.97,13.28,132.98,19.88,152.85999999999999,3405.0,0.33,2.73,False
8.24,14.61,139.94,25.12,165.06,3673.65,0.27,5.62,True
7.97,22.98,0.0,196.74,196.74,1376.15,0.32,5.07,False
8.02,16.89,0.0,114.53,114.53,3405.9,0.31,7.87,True
8.12,22.05,0.0,175.24,175.24,4410.23,0.27,7.64,False
8.37,12.71,41.9,80.47,122.37,2006.02,0.29,5.33,True
7.66,17.33,0.0,104.85,104.85,3237.73,0.29,5.26,True
8.16,22.47,0.0,126.42,126.42,2223.6,0.32,3.36,False
7.27,11.04,0.0,152.06,152.06,3189.41,0.28,7.11,False
8.17,14.54,0.0,179.84,179.84,4043.08,0.28,7.52,True
8.22,19.04,91.17,9.94,101.11,5957.74,0.33,2.45,False
8.31,8.32,133.94,1.18,135.12,1931.52,0.26,5.16,False
8.22,13.6,11.5,100.47,111.97,2215.97,0.28,4.72,True
7.59,11.45,0.0,156.67,156.67,2841.2,0.29,4.4,True
8.1,17.39,0.0,117.83,117.83,4790.87,0.32,7.49,True
7.62,15.27,0.0,171.18,171.18,2336.23,0.29,7.27,True
7.26,11.64,0.0,125.74,125.74,1088.65,0.29,7.22,False
8.26,12.58,122.56,9.38,131.94,2098.74,0.25,4.95,True
7.52,8.96,0.0,133.46,133.46,1655.76,0.32,3.99,False
7.73,19.51,0.0,185.43,185.43,4762.22,0.29,5.27,True
7.99,18.45,0.0,197.97,197.97,4132.37,0.31,6.99,True
8.7,15.3,91.46,85.42,176.88,2831.88,0.32,5.86,False
7.45,24.38,0.0,164.02,164.02,3776.74,0.27,3.62,False
8.48,15.09,44.44,97.81,142.25,3000.0,0.26,5.93,True
8.37,10.08,26.85,106.23,133.08,2696.03,0.33,7.49,True
8.3,7.85,177.79,2.34,180.13,709.52,0.33,2.19,False
7.53,10.83,0.0,130.02,130.02,2858.29,0.3,4.15,True
7.67,12.42,0.0,130.13,130.13,4216.1,0.26,5.14,True
7.53,16.75,0.0,118.67,118.67,3240.74,0.32,6.62,True
7.69,13.61,0.0,156.71,156.71,2242.25,0.33,6.94,True
8.14,12.14,0.0,194.99,194.99,4700.86,0.3,7.53,True
8.5,5.17,111.93,35.53,147.46,3166.89,0.33,7.13,False
8.51,18.22,81.73,72.81,154.54000000000002,4874.02,0.25,5.33,False
7.53,15.61,0.0,127.0,127.0,4302.45,0.3,4.04,True
7.96,12.82,0.0,120.61,120.61,2522.26,0.33,3.55,False
8.58,16.5,94.33,44.73,139.06,5817.97,0.33,4.01,False
8.25,6.74,179.74,5.38,185.12,3275.94,0.27,2.2,False
8.17,15.7,0.0,194.4,194.4,3218.78,0.33,5.0,True
8.13,16.23,0.0,147.46,147.46,4813.04,0.27,7.23,True
7.66,9.48,0.0,107.17,107.17,2857.01,0.26,3.46,False
8.36,14.83,98.69,93.51,192.2,1432.04,0.28,6.75,True
7.27,24.89,0.0,176.82,176.82,2732.05,0.33,6.12,False
7.93,22.68,0.0,175.64,175.64,5992.49,0.29,7.68,False
8.39,6.34,178.89,14.22,193.10999999999999,1034.47,0.26,3.04,False
8.55,20.9,167.17,8.55,175.72,2954.39,0.3,7.69,False
